REM ***********************************************************************
REM   Script for Level 3001 光明的入侵2 正式版
REM ***********************************************************************
REM 地图剧情：
REM 在这个王国（地区）里，只剩下三个守护者，他们一直在相互在争斗着，
REM 近来，人类（光明/正义力量）想从平衡的世界入侵这个世界，在大家
REM 眼皮底下建了前哨（中央的熔岩岛），吸引守护者们的眼光，暗中在一角
REM 里用寺庙做掩护建造虫洞（时空隧道）入口，你是黑暗之子，直觉让
REM 你嗅到了光明的味道，从这个世界的另一个王国进来察看这个王国，发现
REM 了人类的计划，于是决定在这里建立基地并摧毁人类寺庙粉碎人类的计划，
REM 因为你刚刚从时空隧道到这个地方，力量很弱，没有钱没有资源，没有厉害的
REM 魔法，甚至招不到厉害的兵，但你是黑暗之子，有着王子的光环--有凶残、
REM 奸险、狡诈的本领，你要利用谋略在不杀同类的情况下粉碎人类的计划，
REM 中途要策反鬼魂和僧侣，策反了建造寺庙里虫洞的主持人，于是人类大怒
REM 失了理智，从寺庙或他们的心脏中挖出来报复你，中了你的计谋。
REM 最后那句台词是：,"哈哈，干得好，邪恶和狡诈的你策反了僧侣，成功地
REM 激怒了英雄，让那些蠢货失去理智，将从寺庙里出来复仇！"， 
REM 在DK中，凶残、邪恶、狡诈是对王者的赞美之词。
REM ***********************************************************************
REM 地图的大概情况与参考建议：
REM 1、把英雄的心脏换到了打不到的地方，胜利不需要摧毁敌人心脏 ，
REM     不要随意摧毁敌人心脏，否则容易失败。
REM 2、增加了英雄的寺庙，在特定条件下英雄会从心脏和寺庙杀出来 。
REM 3、限制了其它守护者建造工厂的数量。
REM 4、守护者的心脏也换到了不容易打到的位置。
REM 5、把黄色守护者与其它两守护者之间的墙用岩石封死了，把显示地图
REM     的宝物移动了黄色心脏附近防魔法作弊。
REM 第二版增加的难度：
REM 6、把东西两边守护者的地盘都填充了房子。
REM 7、禁止了建造寺庙和哨所（不能通过建哨所和寺庙来阻挡镰刀）。
正式版的修改内容 ：
REM 1、把兵营改小了；
REM 2、把塌方术、闪电术留在黄色家里，其它家没有；
REM 3、红色小鬼限制只能制造30只，黄色和绿色发巢穴；
REM 4、人类还有僧侣的时候不会刷镰刀，如果玩家先杀了圣者和骑士，僧侣一死就会刷两倍镰刀。
REM ***********************************************************************
SET_GENERATE_SPEED(500)
MAX_CREATURES(PLAYER0,20)
MAX_CREATURES(PLAYER1,25)
MAX_CREATURES(PLAYER2,25)
MAX_CREATURES(PLAYER3,25)
START_MONEY(PLAYER0,20000)
START_MONEY(PLAYER1,30000)
START_MONEY(PLAYER2,30000)
START_MONEY(PLAYER3,30000)

COMPUTER_PLAYER(PLAYER1,0)
COMPUTER_PLAYER(PLAYER2,0)
COMPUTER_PLAYER(PLAYER3,0)

REM *******************************添加怪物到入口 *********************************
REM   (添加到入口的生物名字,数量)
ADD_CREATURE_TO_POOL(SORCEROR,60)
ADD_CREATURE_TO_POOL(BILE_DEMON,50)
ADD_CREATURE_TO_POOL(DARK_MISTRESS,50)
ADD_CREATURE_TO_POOL(TROLL,55)
ADD_CREATURE_TO_POOL(ORC,55)
ADD_CREATURE_TO_POOL(DRAGON,50)
ADD_CREATURE_TO_POOL(DEMONSPAWN,30)
ADD_CREATURE_TO_POOL(HELL_HOUND,40)
ADD_CREATURE_TO_POOL(SPIDER,20)
ADD_CREATURE_TO_POOL(FLY,20)

REM *******************************指定阵营（玩家）允许/禁止从入口（怪物池）中招指定生物*********************************
REM  (玩家,生物名称,1（只能是1）,[1允许招募/0禁止招募])
CREATURE_AVAILABLE(ALL_PLAYERS,FLY,1,1)
CREATURE_AVAILABLE(ALL_PLAYERS,SORCEROR,1,1)
CREATURE_AVAILABLE(PLAYER0,SPIDER,1,1)
CREATURE_AVAILABLE(PLAYER0,TROLL,1,1)
CREATURE_AVAILABLE(PLAYER0,DEMONSPAWN,1,1)
CREATURE_AVAILABLE(PLAYER0,ORC,1,1)
CREATURE_AVAILABLE(PLAYER1,DARK_MISTRESS,1,1)
CREATURE_AVAILABLE(PLAYER1,ORC,1,1)
CREATURE_AVAILABLE(PLAYER2,DRAGON,1,1)
CREATURE_AVAILABLE(PLAYER2,TROLL,1,1)
CREATURE_AVAILABLE(PLAYER3,BILE_DEMON,1,1)
CREATURE_AVAILABLE(PLAYER3,HELL_HOUND,1,1)

REM ********************指定阵营（玩家）允许/禁止研究和建造指定房子（建筑）**********************************
REM  (玩家,房子名称,是否可研究或建造[1是允许；0是禁止],是否已经可建造[1已经可建/0待研究])
ROOM_AVAILABLE(ALL_PLAYERS,BARRACKS,1,0)
ROOM_AVAILABLE(ALL_PLAYERS,WORKSHOP,1,0)
ROOM_AVAILABLE(PLAYER1,TREASURE,1,0)
ROOM_AVAILABLE(PLAYER2,TREASURE,1,0)
ROOM_AVAILABLE(PLAYER3,TREASURE,1,0)
ROOM_AVAILABLE(PLAYER1,LAIR,1,1)
ROOM_AVAILABLE(PLAYER2,LAIR,1,1)
ROOM_AVAILABLE(PLAYER3,LAIR,1,1)
ROOM_AVAILABLE(PLAYER1,GARDEN,1,1)
ROOM_AVAILABLE(PLAYER2,GARDEN,1,1)
ROOM_AVAILABLE(PLAYER3,GARDEN,1,1)
ROOM_AVAILABLE(PLAYER1,TRAINING,1,1)
ROOM_AVAILABLE(PLAYER2,TRAINING,1,1)
ROOM_AVAILABLE(PLAYER3,TRAINING,1,1)
ROOM_AVAILABLE(PLAYER1,RESEARCH,1,1)
ROOM_AVAILABLE(PLAYER2,RESEARCH,1,1)
ROOM_AVAILABLE(PLAYER3,RESEARCH,1,1)
ROOM_AVAILABLE(PLAYER1,TEMPLE,1,0)
ROOM_AVAILABLE(PLAYER2,TEMPLE,1,0)
ROOM_AVAILABLE(PLAYER3,TEMPLE,1,0)
ROOM_AVAILABLE(PLAYER1,GRAVEYARD,1,0)
ROOM_AVAILABLE(PLAYER2,GRAVEYARD,1,0)
ROOM_AVAILABLE(PLAYER3,GRAVEYARD,1,0)
ROOM_AVAILABLE(PLAYER1,PRISON,1,0)
ROOM_AVAILABLE(PLAYER2,PRISON,1,0)
ROOM_AVAILABLE(PLAYER3,PRISON,1,0)
ROOM_AVAILABLE(PLAYER1,TORTURE,1,0)
ROOM_AVAILABLE(PLAYER2,TORTURE,1,0)
ROOM_AVAILABLE(PLAYER3,TORTURE,1,0)
ROOM_AVAILABLE(PLAYER2,SCAVENGER,1,0)
ROOM_AVAILABLE(PLAYER3,SCAVENGER,1,0)

REM ********************指定阵营（玩家）允许/禁止研究和使用指定魔法**********************************
REM  (玩家,魔法名称,是否可研究或使用[1是允许；0是禁止],是否已经可使用[1已经可建/0待研究])
MAGIC_AVAILABLE(ALL_PLAYERS,POWER_HAND,1,1)
MAGIC_AVAILABLE(ALL_PLAYERS,POWER_IMP,1,1)
MAGIC_AVAILABLE(ALL_PLAYERS,POWER_SLAP,1,1)
